Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	RMSE	normalized_time	norm_diam	nodes_norm	edges_norm	quant_ratio	nod_edg	combined_score2
FALSE	FALSE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	2;2;FALSE	NA	Network3344	63.39	4.16	42	70	1	0.061	7	0.067	3	4	NA	16	9	vanilla_three_step	67.55	0.88	0.41	70.71067811865476	0.04799869255966973	0.2916666666666667	0.25925925925925924	0.09198423127463863	0.12857142857142856	0.6	0.8090193091071137
TRUE	FALSE	FALSE	FALSE	three	vanilla	one_step	FALSE	NA	NA	3;3;TRUE	NA	Network2479	77.4	64.2	85	197	1	0.066	13	0.103	2	6	NA	36	21	vanilla_one_step	141.60000000000002	0.8	0.35	89.44271909999159	0.10061606019910045	0.5416666666666666	0.5246913580246914	0.2588699080157687	0.1065989847715736	0.43147208121827413	0.8090096136792999
TRUE	FALSE	FALSE	TRUE	two	vanilla	three_step	NA	NA	4;4	NA	NA	Network1655	39.4	314.41	117	385	1	0.106	11	0.067	4	7	NA	87	57	vanilla_three_step	353.81	0.76	0.38	98.0995892538022	0.2514051430723427	0.4583333333333333	0.7222222222222222	0.5059132720105125	0.14805194805194805	0.3038961038961039	0.8089116120781722
FALSE	FALSE	TRUE	FALSE	three	vanilla	one_step	FALSE	NA	NA	4;4;TRUE	NA	Network2876	46	11.3	89	158	1	0.093	11	0.073	10	8	NA	24	14	vanilla_one_step	57.3	0.76	0.38	91.55519068396106	0.04071539724158513	0.4583333333333333	0.5493827160493827	0.2076215505913272	0.08860759493670886	0.5632911392405063	0.8088273846867041
FALSE	FALSE	TRUE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;TRUE	NA	Network2364	17.59	4.4	48	83	1	0.05	8	0.085	3	5	NA	20	10	vanilla_two_step	21.990000000000002	0.88	0.41	71.80703308172536	0.015625333077529793	0.3333333333333333	0.2962962962962963	0.10906701708278581	0.12048192771084337	0.5783132530120482	0.8087825639065823
TRUE	FALSE	FALSE	TRUE	two	vanilla	three_step	NA	NA	4;2	NA	NA	Network1015	28.01	252.72	153	736	1	0.098	10	0.074	8	5	NA	122	74	vanilla_three_step	280.73	0.79	0.44	96.0060954573094	0.1994770238678917	0.4166666666666667	0.9444444444444444	0.9671484888304862	0.10054347826086957	0.2078804347826087	0.8087096676901899
TRUE	FALSE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	3;3;FALSE	NA	Network3719	103.99	612.55	125	443	1	0.085	14	0.074	1	6	NA	72	49	vanilla_two_step	716.54	0.78	0.41	86.98606117822621	0.5091485294849112	0.5833333333333334	0.7716049382716049	0.5821287779237845	0.11060948081264109	0.28216704288939054	0.808641701176005
TRUE	FALSE	TRUE	FALSE	two	vanilla	two_step	NA	NA	4;1	NA	NA	Network683	17.68	21.75	106	241	1	0.03	5	0.056	4	4	NA	42	27	vanilla_two_step	39.43	0.89	0.5	65.89465276604692	0.028017593599226905	0.20833333333333334	0.654320987654321	0.316688567674113	0.11203319502074689	0.43983402489626555	0.8085797454571948
TRUE	TRUE	TRUE	FALSE	two	vanilla	two_step	NA	NA	4;1	NA	NA	Network681	17.7	22.27	106	241	1	0.03	5	0.056	4	4	NA	42	27	vanilla_two_step	39.97	0.89	0.5	65.85510410622783	0.02840129891354551	0.20833333333333334	0.654320987654321	0.316688567674113	0.11203319502074689	0.43983402489626555	0.8085030043943311
TRUE	TRUE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	4;3;TRUE	NA	Network2545	69	138	81	230	1	0.125	9	0.043	1	9	NA	42	28	vanilla_one_step	207	0.76	0.38	90.8385049795961	0.14708703715546462	0.375	0.5	0.30223390275952694	0.12173913043478261	0.3521739130434783	0.8084521577862984
FALSE	TRUE	FALSE	FALSE	three	inverse	NA	NA	NA	NA	3;3;FALSE	NA	Network3710	71.39999999999999	15.13	88	169	1	0.088	10	0.031	5	5	10	23	15	inverse	86.52999999999999	0.79	0.32	92.58200997725514	0.06148522379257174	0.4166666666666667	0.5432098765432098	0.22207621550591328	0.08875739644970414	0.5207100591715976	0.8084149867996712
FALSE	TRUE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	4;4;FALSE	NA	Network4102	77.4	602.4	107	178	3	0.07	18	0.064	7	8	18	37	21	inverse	679.8	0.71	0.29	106.90449676496976	0.48304235680330837	0.75	0.6604938271604939	0.23390275952693823	0.11797752808988764	0.601123595505618	0.8083802926842821
TRUE	TRUE	FALSE	FALSE	three	vanilla	two_step	NA	NA	NA	4;2;FALSE	NA	Network3485	88.25	34.19	101	273	1	0.095	9	0.052	7	7	NA	35	26	vanilla_two_step	122.44	0.81	0.38	87.72684879784524	0.08700162719475887	0.375	0.6234567901234568	0.3587385019710907	0.09523809523809523	0.36996336996337	0.8082187221800958
TRUE	FALSE	FALSE	FALSE	three	vanilla	one_step	FALSE	NA	NA	4;4;TRUE	NA	Network2879	83.39999999999999	98.4	86	198	1	0.057	10	0.051	7	5	NA	31	21	vanilla_one_step	181.8	0.81	0.38	87.61028763792527	0.1291807891539298	0.4166666666666667	0.5308641975308642	0.26018396846254926	0.10606060606060606	0.43434343434343436	0.8080274785328503
TRUE	TRUE	TRUE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;TRUE	NA	Network2377	42.78	34.89	87	205	1	0.049	11	0.076	10	5	NA	35	19	vanilla_three_step	77.67	0.81	0.38	89.21425711997712	0.055189614376159116	0.4583333333333333	0.5370370370370371	0.26938239159001315	0.09268292682926829	0.424390243902439	0.8079702072060689
