Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	TP	FP	TN	RMSE
TRUE	FALSE	TRUE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3643	90.92	40.54	79	207	1	0.04	8	0.064	7	6	NA	40	28	vanilla_two_step	131.46	0.81	0.38	13	3	21	89.07315969346647
FALSE	FALSE	TRUE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3644	64.67	5.95	45	80	1	0.078	8	0.109	3	5	NA	18	9	vanilla_two_step	70.62	0.88	0.41	14	2	20	70.71067811865476
TRUE	TRUE	FALSE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3645	98.61	15.46	70	161	1	0.092	13	0.096	12	6	NA	33	23	vanilla_two_step	114.07	0.82	0.41	14	3	20	84.01680504168058
FALSE	TRUE	FALSE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3646	69.62	5.63	47	83	1	0.077	8	0.093	3	5	NA	18	9	vanilla_two_step	75.25	0.88	0.41	14	2	20	70.71067811865476
TRUE	FALSE	FALSE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3647	101.67	33.62	89	254	1	0.081	13	0.035	12	6	NA	38	25	vanilla_two_step	135.29	0.82	0.41	14	3	20	84.53669204591456
FALSE	FALSE	FALSE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3648	72.44	6.81	47	85	1	0.077	8	0.112	3	5	NA	18	9	vanilla_two_step	79.25	0.88	0.41	14	2	20	70.71067811865476
TRUE	TRUE	TRUE	TRUE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3649	89.64	631.47	89	208	1	0.057	16	0.033	15	8	NA	55	37	vanilla_three_step	721.11	0.78	0.41	14	4	20	94.28090415820634
FALSE	TRUE	TRUE	TRUE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3650	63.72	31.2	104	363	1	0.102	10	0.061	8	6	NA	61	33	vanilla_three_step	94.92	0.75	0.44	15	5	19	101.37139307578859
TRUE	FALSE	TRUE	TRUE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3651	91.82	1180.7	116	387	1	0.083	13	0.094	8	6	NA	79	51	vanilla_three_step	1272.52	0.76	0.38	13	4	21	98.2227693475431
FALSE	FALSE	TRUE	TRUE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3652	64.88	34.93	97	297	1	0.079	10	0.064	8	6	NA	56	32	vanilla_three_step	99.81	0.75	0.44	15	5	19	101.25964355920455
