UNIPROT	gene_name	significant	logpval	difference
Q8R344	Ccdc12	NA	0.83532	-0.194261
Q8R349	Cdc16	NA	0.160435	0.261311
Q8R3C0	Mcmbp	+	0.00279518	-0.613837
Q8R3C6	Rbm19	+	0.017463	-0.715888
Q8R3D1	Tbc1d13	NA	0.835153	0.443696
Q8R3E3	Wipi1	NA	0.938428	0.0781037
Q8R3F5	Mcat	+	0.017092	0.485466
Q8R3F9	Tut1	+	0.0113195	-0.781203
Q8R3G9	Tspan8	NA	0.834985	0.563599
Q8R3H7	Hs2st1	NA	0.764925	0.128713
Q8R3H9	Ttc4	+	0.0893876	-0.479093
Q8R3I3	Cog6	NA	0.275886	0.359205
Q8R3K3	Ptcd2	NA	0.556483	0.181967
Q8R3L2	Tcf25	+	0.0020531	-0.780049
Q8R3L8	Cdk8	NA	0.834818	-0.233253
Q8R3N1	Nop14	+	0.031987	-0.431093
Q8R3N6	Thoc1	NA	0.11191	0.218534
Q8R3W5	Tsen15	NA	0.834651	NA
Q8R3Y8	Irf2bp1	NA	0.342426	-0.270453
Q8R409	Hexim1	NA	0.959229	-0.0344098
Q8R480	Nup85	NA	0.554122	0.130487
Q8R4H9	Slc30a5	NA	0.834484	0.317004
Q8R4N0	Clybl	+	0.0659203	0.429237
Q8R4R6	Nup35	NA	0.711455	-0.179525
Q8R4X3	Rbm12	NA	0.98357000000000006	-0.0164598
Q8R4Y8	Rttn	NA	0.833923	-0.0754118
Q8R502	Lrrc8c	NA	0.351423	0.209677
Q8R550	Sh3kbp1	NA	0.149896	0.571342
Q8R570	Snap47	+	0.013791	-0.557917
Q8R574	Prpsap2	NA	0.348397	0.201244
Q8R5A0	Smyd2	+	0.0989972	-0.3552
Q8R5A3	Apbb1ip	NA	0.143832	-0.3609
Q8R5A6	Tbc1d22a	NA	0.350433	0.276256
Q8R5C5	Actr1b	NA	0.834317	NA
Q8R5F3	Oard1	+	0.0214925	0.561203
Q8R5G7	Arap3	+	0.0214407	0.686203
Q8R5H1	Usp15	NA	0.468049	-0.135297
