UNIPROT	gene_name	significant	logpval	difference
Q9ER72	Cars	NA	0.755604	-0.0693773
Q9ER73	Elp4	NA	0.100274	-0.344512
Q9ERA6	Tfip11	NA	0.987563	-0.0186291
Q9ERB0	Snap29	NA	0.782319	-0.681875
Q9ERF3	Wdr61	+	0.0309855	-0.33448
Q9ERG0	Lima1	NA	0.389852	-0.27004
Q9ERH4	Nusap1	NA	0.782172	-0.693633
Q9ERI2	Rab27a	+	0.0136889	0.722613
Q9ERI6	Rdh14	NA	0.109857	0.452351
Q9ERK4	Cse1l	NA	0.33853	0.153613
Q9ERL0	Mllt1	NA	0.11689	0.443358
Q9ERN0	Scamp2	NA	0.782025	0.396411
Q9ERS2	Ndufa13	+	0.0135668	0.56908
Q9ERS5	Plekha2	NA	0.784739	0.111073
Q9ERU9	Ranbp2	NA	0.637387	-0.0854804
Q9ERV1	Mkrn2	NA	0.937709	-0.0365671
Q9ERZ0	Hemgn	NA	0.471986	0.304296
Q9ES00	Ube4b	NA	0.184244	0.155114
Q9ES28	Arhgef7	NA	0.682675	0.11573
Q9ES34	Ube3b	NA	0.781439	-0.0952187
Q9ES46	Parvb	NA	0.781292	NA
Q9ES52	Inpp5d	+	0.00341176	1.25717
Q9ES56	Trappc4	NA	0.16169	-0.417516
Q9ES70	Nek6	NA	0.781146	-1.7411
Q9ES74	Nek7	NA	0.230944	0.233063
Q9ES97	Rtn3	NA	0.3551	0.236233
Q9ESC8	Aff4	NA	0.806161	-0.150256
Q9ESD6	Cmtm7	NA	0.780999	NA
Q9ESJ0	Xpo4	NA	0.314773	-0.165251
Q9ESJ4	Nckipsd	NA	0.780853	NA
Q9ESK9	Rb1cc1	NA	0.116749	-0.599843
Q9ESP1	Sdf2l1	NA	0.8512	-0.0551465
Q9EST3	Eif4enif1	NA	0.78056	-0.457481
Q9EST4	Psmg2	NA	0.278058	-0.288613
Q9EST5	Anp32b	NA	0.780414	NA
Q3UFR4	Slc1a5	NA	0.780268	-0.706654
Q9ESW4	Agk	+	0.00410363	0.637143
Q9ESW8	Pgpep1	+	0.0191299	0.817128
Q9ESX5	Dkc1	+	0.0867677	0.353327
Q9ET26	Rnf114	+	0.0408825	-0.436537
Q9ET30	Tm9sf3	NA	0.937073	-0.0295461
Q9JHE7	Tssc4	NA	0.844935	0.0958735
Q9JHF5	Tcirg1	+	0.0217013	0.656381
Q9JHG7	Pik3cg	+	0.0692081	-0.4109
Q9JHI2	Adat1	+	0.0551321	0.413273
Q9JHI7	Exosc9	NA	0.780122	NA
Q9JHJ0	Tmod3	NA	0.195016	-0.272838
Q9JHK4	Rabggta	NA	0.973344	0.0374807
Q9JHK5	Plek	+	0.036935	1.03664
Q9JHL1	Slc9a3r2	NA	0.770067	0.0845706
Q9JHQ5	Lztfl1	NA	0.779976	NA
Q9JHS3	Lamtor2	NA	0.77983	NA
Q9JHT5	Ammecr1	NA	0.779684	NA
Q9JHU4	Dync1h1	NA	0.371071	0.117606
Q9JHU9	Isyna1	NA	0.43558	-0.221106
Q9JHW2	Nit2	NA	0.390663	0.283323
Q9JHW4	Eefsec	+	0.0552774	0.29629
Q9JI08	Bin3	NA	1	0
Q9JI10	Stk3	NA	0.779538	-0.310954
Q9JI11	Stk4	NA	0.282518	0.261927
Q9JI13	Utp3	+	0.0214344	-0.803342
Q9JI38	Pus3	NA	0.779393	0.451426
Q9JI39	Abcb10	+	0.0121569	0.766547
Q9JI44	Dmap1	NA	0.18589	0.33762
Q9JI75	Nqo2	+	0.0059845	0.712307
Q9JI78	Ngly1	NA	0.86599	-0.0597401
Q9JIF0	Prmt1	+	0.0593223	-0.302504
Q9JIF7	Copb1	NA	0.881039	0.0409292
Q9JIG7	Ccdc22	NA	0.1213	0.221863
Q9JIG8	Praf2	NA	0.779247	NA
Q9JIH2	Nup50	+	0.0223223	-0.506996
Q9JII6	Akr1a1	+	0.00562205	0.70775
Q9JIK5	Ddx21	+	0.082327	-0.342032
Q9JIK9	Mrps34	NA	0.195109	0.236511
Q9JIW9	Ralb	NA	0.139713	0.199491
Q9JIX0	Eny2	NA	0.779101	-0.233136
Q9JIX8	Acin1	+	0.095191	0.326636
Q9JIY5	Htra2	+	0.0119923	0.466367
Q9JIZ5	Tfap4	NA	0.778956	NA
Q9JJ00	Plscr1	NA	0.77881	NA
Q9JJ06	C1galt1	+	0.0220541	0.667597
Q9JJ28	Flii	NA	0.657557	-0.0899137
Q9JJ66	Cdc20	NA	0.778664	NA
Q9JJ78	Pbk	+	0.00629075	-0.9228
Q9JJ89	Ccdc86	NA	0.778519	NA
Q9JJ94	Ssna1	NA	0.778374	-0.154058
Q9JJA2	Cog8	NA	0.725292	0.185532
Q9JJA4	Wdr12	NA	0.201789	-0.209106
Q9JJA7	Ccnl2	+	0.0691655	0.598331
Q9JJD0	Thap11	NA	0.552064	0.160633
Q9JJF9	Sppl2a	NA	0.778228	NA
Q9JJG9	Noa1	NA	0.371402	0.153643
Q9JJI8	Rpl38	NA	0.261099	-0.200959
Q9JJL8	Sars2	NA	0.778083	0.535917
Q9JJR8	Tmem9b	NA	0.944391	-0.038516
Q9JJT0	Rcl1	NA	0.69458	-0.0996367
Q9JJU8	Sh3bgrl	NA	0.777938	-0.330763
Q9JJX7	Tdp2	NA	0.777792	NA
Q9JJY4	Ddx20	NA	0.210256	-0.202493
Q9JJZ2	Tuba8	NA	1	0.00944519
Q9JJZ4	Ube2j1	NA	0.461365	-0.29405
Q9JJZ6	Klf13	NA	0.777647	NA
Q9JK23	Psmg1	NA	0.167323	0.322174
Q9JK30	Orc3	NA	0.134895	0.501613
Q9JK81	Myg1	+	0.0674115	0.359003
Q9JK91	Mlh1	NA	0.299558	-0.171415
Q9JKB1	Uchl3	NA	0.377552	0.163907
Q9JKB3	Ybx3	+	0.0411749	-0.938441
Q9JKC7	Ap4m1	NA	0.777502	NA
Q9JKF1	Iqgap1	+	0.00992195	0.492929
Q9JKF7	Mrpl39	NA	1	-0.0175966
Q9JKK1	Stx6	NA	0.777357	0.24227
Q9JKL4	Ndufaf3	NA	0.777212	NA
Q9JKR6	Hyou1	NA	0.339545	-0.16297
Q9JKX3	Tfr2	NA	0.777067	NA
Q9JKX4	Aatf	NA	0.556655	0.116492
Q9JKX6	Nudt5	NA	0.841634	0.0390167
Q9JKY5	Hip1r	+	0.0277116	0.343577
Q9JL26	Fmnl1	NA	0.166193	0.23979
Q9JL35	Hmgn5	NA	0.158196	-0.567763
Q9JL56	Gde1	NA	0.278584	0.307965
Q9JL60	Gmeb1	NA	1	0
Q9JL61	Rfx5	NA	1	0
Q9JL70	Fanca	NA	0.291395	0.229804
Q9JLF6	Tgm1	NA	0.776922	-0.139435
Q9JLI0	Akr1c12	NA	0.446856	0.277653
Q9JLI6	Scly	+	0.022926	0.547501
Q9JLI8	Sart3	+	0.0210745	0.400617
Q9JLN9	Mtor	+	0.0411037	0.391059
Q9JLQ0	Cd2ap	+	0.0153935	-0.617293
Q9JLV5	Cul3	NA	0.908559	0.0342738
G5E8N7	Pnkp	+	0.0486374	0.414553
Q9JLZ3	Auh	+	0.00423529	1.03691
Q9JLZ6	Hic2	NA	0.776778	NA
Q9JM13	Rabgef1	NA	0.619216	-0.154997
Q9JM14	Nt5c	NA	1	0.018383
Q9JM62	Reep6	NA	0.776633	-0.00864983
Q9JM76	Arpc3	+	0.020121	-1.00634
Q9JM93	Arl6ip4	NA	0.699345	0.123781
Q9JMA2	Qtrt1	NA	0.223421	0.285157
Q9JME7	Trappc2l	NA	0.776488	0.182975
Q9JMF7	Dolpp1	NA	0.776344	0.619459
Q9JMG1	Edf1	+	0.0264719	-0.752186
Q9JMG2	C1galt1c1	NA	0.776199	NA
Q9JMH6	Txnrd1	NA	0.647023	0.123936
Q9JMH9	Myo18a	NA	0.65688	-0.108994
Q9QUG9	Rasgrp2	+	0.0863531	0.387011
Q9QUH0	Glrx	NA	1	0
Q9QUI0	Rhoa	NA	0.482879	-0.264664
Q9QUJ7	Acsl4	+	0.0112961	-0.652104
Q9QUM0	Itga2b	NA	1	-0.00546392
Q9QUM9	Psma6	NA	0.194385	0.190133
Q9QUR6	Prep	NA	0.41291	-0.14252
Q9QUR7	Pin1	NA	0.132383	-0.341784
Q9QWF0	Chaf1a	+	0.00392079	-0.753113
Q9QWH1	Phc2	NA	0.776054	-0.352366
Q9QWV9	Ccnt1	+	0.0703932	-0.398067
Q9QWZ1	Rad1	NA	0.77591	-0.13783
Q9QX11	Cyth1	NA	0.775765	0.0350857
Q9QX60	Dguok	+	0.00431325	1.23886
Q9QXB9	Drg2	NA	0.724069	-0.0726732
Q9QXD8	Limd1	NA	0.629011	-0.224571
Q9QXE7	Tbl1x	NA	0.14187	-0.36909
Q9QXK2	Rad18	NA	0.775621	-0.155277
Q9QXK3	Copg2	NA	0.799901	0.0856177
Q9QXK7	Cpsf3	NA	0.47961	0.19166
Q9QXM1	Jmy	NA	0.775477	0.133144
Q9QXN3	Trip4	NA	0.559879	0.160083
Q9QXS1	Plec	NA	0.694472	-0.118131
Q9QXT0	Cnpy2	NA	0.164764	0.473333
Q9QXT1	Dapp1	NA	0.257505	0.418754
Q9QXV1	Cbx8	+	0.00694081	0.83375
Q9QXX4	Slc25a13	+	0.0693437	0.374326
Q9QXX8	Nufip1	NA	0.775332	NA
E9PZW8	Myo9b	NA	0.875633	0.0398471
Q9QY66	Znhit2	NA	0.775188	NA
Q9QY81	Nup210	+	0.0220257	0.62323
Q9QY93	Dctpp1	NA	0.586749	0.128234
Q9QYA2	Tomm40	NA	0.775044	0.702076
Q9QYB1	Clic4	+	0.015544	0.437993
Q9QYB5	Add3	+	0.00673754	0.812658
Q9QYC0	Add1	+	0.00826062	0.76428
Q9QYE6	Golga5	+	0.0286239	-0.631563
Q9QYF1	Rdh11	NA	0.864032	0.0767193
Q9QYH6	Maged1	NA	0.7749	NA
Q9QYI3	Dnajc7	+	0.0264423	-0.608157
Q9QYJ0	Dnaja2	+	0.0221055	-0.54988
Q9QYJ3	Dnajb1	NA	1	-0.0155201
Q9QYL7	Abt1	+	0.0474002	-0.485625
Q9QYR9	Acot2	+	0.00594872	0.939236
Q9QYY8	Spast	NA	0.530782	-0.0933475
Q9QZ06	Tollip	NA	0.752178	0.11128300000000001
Q9QZ23	Nfu1	+	0.00844444	0.637756
Q9QZ82	Cyp11a1	+	0.00351515	2.00048
Q9QZB7	Actr10	NA	0.312704	0.16541
Q9QZB9	Dctn5	NA	0.774756	0.45697
Q9QZD4	Ercc4	NA	0.655457	0.0831426
Q9QZD8	Slc25a10	NA	0.50909	0.130091
Q9QZD9	Eif3i	+	0.0236472	-0.500284
Q9QZE5	Copg1	NA	0.651498	-0.10044
Q9QZE7	Tsnax	NA	0.654377	-0.208996
Q9QZH3	Ppie	NA	0.751294	-0.156615
Q9QZH6	Ecsit	NA	0.239988	-0.337484
Q9QZI9	Serinc3	NA	0.774612	NA
Q9QZK7	Dok3	+	0.00273846	0.92077
Q9QZM0	Ubqln2	NA	0.781686	0.086867
Q9QZM2	Polg2	NA	0.774468	0.722368
Q9QZN4	Fbxo6	NA	0.774324	NA
Q9QZS2	Rnf4	NA	0.77418	NA
Q9QZS3	Numb	+	0.050628	0.396797
Q9QZS8	Sh2d3c	NA	1	0
Q9R049	Amfr	NA	0.192512	-0.23067
Q9R060	Nubp1	+	0.0527688	-0.400388
Q9R061	Nubp2	NA	0.774036	-0.144106
Q9R099	Tbl2	NA	0.90235	0.0416832
Q9R0A0	Pex14	NA	0.773893	0.0415535
Q9R0C0	Bloc1s6	NA	0.773749	-0.448507
Q9R0E1	Plod3	NA	0.939415	-0.0451266
Q9R0E2	Plod1	+	0.0688948	-0.345697
Q9R0H0	Acox1	NA	0.399885	-0.19795
Q9R0L6	Pcm1	+	0.00674608	-2.05248
Q9R0M4	Podxl	+	0.0474751	-0.311389
Q9R0M5	Tpk1	+	0.0154441	0.51162
Q9R0N0	Galk1	NA	0.155954	0.32895
Q9R0P5	Dstn	NA	0.357402	0.137213
Q9R0Q4	Morf4l2	NA	0.773462	NA
Q9R0Q6	Arpc1a	NA	0.205859	0.368839
Q9R0Q7	Ptges3	NA	0.773318	-0.911496
Q9R0U0	Srsf10	NA	0.687078	0.108817
Q9R0X0	Med20	NA	0.773175	0.120207
Q9R0X4	Acot9	+	0.00368254	1.12225
Q9R0Y5	Ak1	NA	0.773031	NA
Q9R111	Gda	+	0.00245517	1.17026
Q9R190	Mta2	NA	0.573066	-0.084657
Q9R1C0	Taf7	NA	0.772888	0.0136636
Q9R1C7	Prpf40a	NA	0.896157	0.0577628
Q9R1J0	Nsdhl	NA	0.125678	0.376134
Q9R1K9	Cetn2	NA	0.772745	NA
Q9R1P0	Psma4	NA	0.498745	0.110537
Q9R1P1	Psmb3	NA	0.720113	0.113947
Q9R1P3	Psmb2	NA	0.561247	-0.152466
Q9R1P4	Psma1	NA	0.762338	-0.0475057
Q9R1Q6	Tmem176b	NA	0.772601	NA
Q9R1Q9	Atp6ap1	+	0.00885791	-0.879697
Q9R1S8	Capn7	NA	0.772458	0.404709
Q9R1T2	Sae1	NA	0.896432	-0.0747935
Q9R1X4	Timeless	+	0.0228972	-0.87918
Q9R1Z7	Pts	+	0.00795415	0.79388
Q9R207	Nbn	NA	0.140208	0.287226
Q9WTI7	Myo1c	+	0.0229431	0.34872
Q9WTK5	Nfkb2	NA	0.929613	0.0370502
Q9WTK7	Stk11	NA	0.772315	-0.142099
Q9WTL7	Lypla2	NA	0.953012	-0.0243467
Q9WTM5	Ruvbl2	NA	0.742351	0.0767174
Q9WTN0	Ggps1	NA	0.772172	NA
Q9WTP6	Ak2	NA	0.818196	0.070776
Q9WTP7	Ak3	+	0.0102707	0.466003
Q9WTR1	Trpv2	+	0.00806977	0.627093
Q9WTS2	Fut8	NA	0.806649	-0.148324
Q9WTU0	Phf2	NA	0.772029	-0.4855
Q9WTU6	Mapk9	NA	0.909948	-0.0567703
Q9WTV7	Rlim	NA	0.771886	-0.42667
Q9WTW5	Slc22a3	NA	0.771743	0.31131
Q9WTX2	Prkra	+	0.0473761	0.505044
Q9WTX5	Skp1	NA	0.194969	-0.479121
Q9WTX6	Cul1	NA	0.700524	-0.0911433
Q9WTX8	Mad1l1	NA	0.784529	-0.0622737
Q9WU28	Pfdn5	NA	0.114582	-0.449884
Q9WU56	Pus1	NA	0.198359	0.24818
Q9WU62	Incenp	+	0.0103612	-1.83639
Q9WU78	Pdcd6ip	NA	0.568964	0.116227
Q9WU79	Prodh	+	0.0962833	0.372883
Q9WU84	Ccs	NA	0.694239	-0.241413
Q9WUA2	Farsb	NA	0.750245	-0.0744871
Q9WUA3	Pfkp	NA	0.911326	0.0472247
Q9WUB0	Rbck1	+	0.0602629	-0.385605
Q9WUD1	Stub1	NA	0.4002	-0.17282
Q9WUF3	Casp8ap2	NA	0.7716	NA
Q9WUH1	Tmem115	NA	0.138185	-0.40497
Q9WUK2	Eif4h	+	0.006	-1.12902
Q9WUK4	Rfc2	NA	0.728439	-0.0659631
Q9WUL7	Arl3	+	0.00456051	0.66362
Q9WUM3	Coro1b	+	0.0204444	0.535367
Q9WUM4	Coro1c	NA	0.815266	-0.0602036
Q9WUM5	Suclg1	+	0.00984127	0.604787
Q9WUN2	Tbk1	NA	0.490365	-0.181491
Q9WUP7	Uchl5	NA	0.887031	-0.0385367
Q9WUQ2	Preb	+	0.0201792	0.387843
Q9WUR9	Ak4	+	0.0884422	0.35122
Q9WUU7	Ctsz	+	0.0575042	0.366983
Q9WUU9	Mcm3ap	+	0.0794239	0.351599
Q9WUV0	Orc5	NA	0.488921	-0.385459
Q9WV03	Fam50a	NA	0.469224	0.50875
Q9WV30	Nfat5	NA	0.771457	NA
Q9WV54	Asah1	+	0.00250704	1.18115
Q9WV55	Vapa	+	0.0767921	-0.716954
Q9WV80	Snx1	NA	0.162891	-0.212613
Q9WV84	Nme4	NA	0.206873	0.415088
Q9WV98	Timm9	NA	0.197243	-0.183142
Q9WVA2	Timm8a1	NA	0.332087	0.146168
Q9WVA3	Bub3	NA	1	-0.00145976
Q9WVA4	Tagln2	NA	0.730798	-0.0720367
Q9WVB0	Rbpms	NA	0.771314	NA
Q9WVD5	Slc25a15	NA	0.771172	0.486243
Q9WVE8	Pacsin2	NA	0.419042	0.118144
Q9WVF7	Pole	+	0.0134937	-1.57845
Q9WVJ2	Psmd13	NA	0.597166	0.127396
Q9WVK4	Ehd1	NA	0.997002	-0.0124836
Q9WVL0	Gstz1	NA	0.403031	0.231766
Q9WVM1	Racgap1	NA	0.771029	NA
Q9WVM3	Anapc7	NA	0.151317	-0.426069
Q9WVQ5	Apip	NA	0.269263	0.279767
Q9WVS7	Map2k5	NA	1	0
Q9Z0E0	Ncdn	+	0.010723	-0.678886
Q9Z0F4	Cib1	NA	0.770886	NA
Q9Z0F6	Rad9a	NA	0.770744	NA
Q9Z0F8	Adam17	NA	0.65625	-0.139557
Q9Z0G0	Gipc1	NA	0.770601	-0.351585
Q9Z0H1	Wdr46	NA	0.691098	0.079546
Q9Z0H3	Smarcb1	NA	0.76627	-0.127007
Q9Z0H4	Celf2	+	0.0271012	0.432351
Q9Z0H7	Bcl10	NA	0.770459	NA
Q9Z0H8	Clip2	NA	0.13148	0.494927
Q9Z0L8	Ggh	+	0.00603571	0.857866
Q9Z0M5	Lipa	+	0.004125	0.995367
Q9Z0N1	Eif2s3x	NA	0.908525	-0.0327435
Q9Z0P4	Palm	+	0.0113667	0.826429
Q9Z0P5	Twf2	NA	0.69479900000000006	0.124709
Q9Z0P7	Sufu	NA	0.770316	0.419574
Q9Z0R9	Fads2	+	0.00313514	-1.6745
Q9Z0S1	Bpnt1	NA	0.586095	0.110963
Q9Z0U1	Tjp2	NA	0.944698	0.0198205
Q9Z0V7	Timm17b	NA	0.770174	0.210541
Q9Z0W3	Nup160	+	0.00957895	0.578134
Q9Z0Y1	Dctn3	NA	0.402256	0.145603
Q9Z104	Hmg20b	NA	0.770032	0.257839
Q9Z110	Aldh18a1	+	0.044696	0.370324
Q9Z120	Mettl1	NA	0.937458	-0.0320269
Q9Z127	Slc7a5	NA	0.76989	0.1918
Q9Z129	Recql	NA	0.651644	0.154149
Q9Z160	Cog1	NA	0.833537	0.0562369
Q9Z179	Shcbp1	+	0.037413	-0.54033
Q9Z183	Padi4	+	0.0286567	0.443226
Q8C2C6	Tfg	NA	0.769747	-0.489269
Q9Z1B5	Mad2l1	NA	0.510042	0.145255
Q9Z1D1	Eif3g	+	0.0215288	-0.759503
Q9Z1E3	Nfkbia	NA	0.769605	1.14391
Q9Z1E4	Gys1	NA	0.184151	0.341483
Q9Z1F9	Uba2	NA	0.188708	0.246733
Q9Z1G3	Atp6v1c1	NA	0.311148	0.238304
Q9Z1J3	Nfs1	NA	1	-0.01747
Q9Z1K5	Arih1	NA	0.359294	0.167823
Q9Z1K6	Arih2	NA	1	0.0236734
Q9Z1M4	Rps6kb2	NA	0.769463	NA
Q9Z1M8	Ik	NA	0.959416	-0.025816
Q9Z1N2	Orc1	NA	0.273214	0.229934
Q9Z1N5	Ddx39b	NA	0.155628	0.256212
Q9Z1P6	Ndufa7	NA	0.769321	NA
Q9Z1Q2	Abhd16a	NA	0.769179	0.433291
Q9Z1Q5	Clic1	+	0.0923969	0.440945
Q9Z1Q9	Vars	NA	0.33418	-0.131771
Q9Z1R2	Bag6	NA	0.110223	-1.0562
Q9Z1S0	Bub1b	NA	0.769037	NA
Q9Z1T1	Ap3b1	+	0.0112101	0.533461
Q9Z1T6	Pikfyve	+	0.0994592	-0.375256
Q9Z1X4	Ilf3	NA	0.976826	0.0158234
Q9Z1Z0	Uso1	NA	0.419832	-0.139956
Q9Z1Z2	Strap	+	0.00473469	-0.890987
Q9Z204	Hnrnpc	NA	0.167372	0.223727
Q9Z248	Aebp2	NA	1	0
Q9Z277	Baz1b	NA	0.11113	-0.276033
Q9Z2A5	Ate1	NA	0.732396	0.160507
Q9Z2B9	Rps6ka4	+	0.0215538	0.37775
Q9Z2D0	Mtmr9	NA	0.803815	0.112457
Q9Z2D1	Mtmr2	NA	0.762456	-0.0660369
Q9Z2D6	Mecp2	NA	0.106586	0.69521
Q9Z2D8	Mbd3	+	0.0209722	-0.31342
Q9Z2E1	Mbd2	NA	0.768753	0.347074
Q9Z2G0	Fem1b	NA	0.768612	NA
Q9Z2G6	Sel1l	NA	0.874132	-0.0454731
Q9Z2H6	Clec4d	NA	1	0
Q9Z2I0	Letm1	+	0.025565	0.550101
Q9Z2I2	Fkbp1b	NA	0.76847	NA
Q9Z2I8	Suclg2	+	0.0138478	0.602217
Q9Z2I9	Sucla2	+	0.0388913	0.458267
Q9Z2L6	Minpp1	+	0.004	-1.02586
Q9Z2L7	Crlf3	NA	0.289375	0.194373
Q9Z2M6	Ubl3	NA	0.768328	NA
Q9Z2M7	Pmm2	NA	0.29148	0.297866
Q9Z2N8	Actl6a	NA	0.811931	0.0624097
Q9Z2U0	Psma7	NA	0.655846	-0.155933
Q9Z2U1	Psma5	NA	0.626804	-0.0803731
Q9Z2U2	Zfp292	NA	0.686767	0.122267
Q9Z2V5	Hdac6	NA	1	-0.00731977
Q9Z2X1	Hnrnpf	NA	0.908341	-0.0439123
Q9Z2X2	Psmd10	+	0.0215701	0.657099
Q9Z2X8	Keap1	NA	0.82788	-0.0890872
Q9Z2Y3	Homer1	NA	0.116885	-0.763137
Q9Z2Z6	Slc25a20	NA	0.768187	NA
Q9Z315	Sart1	NA	0.255586	-0.209904
Q9Z321	Top3b	NA	0.111984	0.265243
Q9Z329	Itpr2	+	0.00256115	0.920734
S4R1M0	Ptprc	+	0.0174683	0.393553
S4R1W5	Rbm6	NA	0.121992	0.279823
A2RTL5	Rsrc2	NA	0.768045	NA
Q9R062	Gyg	NA	0.129257	0.32515
Q5SV85	Synrg	+	0.00602532	-0.818368
